Помидор, Овощ, Паслёновые, Красный
Баклажан, Овощ, Паслёновые, Фиолетовый
Перец сладкий зелёный, Овощ, Паслёновые, Зелёный
Перец сладкий красный, Овощ, Паслёновые, Красный
Перец сладкий жёлтый, Овощ, Паслёновые, Жёлтый
Перец сладкий оранжевый, Овощ, Паслёновые, Оранжевый
Перец чили красный, Овощ, Паслёновые, Красный
Перец чили зелёный, Овощ, Паслёновые, Зелёный
Картофель, Овощ, Паслёновые, Коричневый
Физалис, Овощ, Паслёновые, Оранжевый
Морковь, Овощ, Зонтичные, Оранжевый
Свёкла, Овощ, Амарантовые, Красная
Капуста белокочанная, Овощ, Крестоцветные, Зелёная
Брокколи, Овощ, Крестоцветные, Зелёная
Лук репчатый, Овощ, Луковые, Белый
Огурец, Овощ, Тыквенные, Зелёный
Кабачок, Овощ, Тыквенные, Зелёный
Редис, Овощ, Крестоцветные, Красный
Сельдерей, Овощ, Зонтичные, Зелёный
Репа, Овощ, Крестоцветные, Белый
Чеснок, Овощ, Луковые, Белый
Шпинат, Овощ, Маревые, Зелёный
Артишок, Овощ, Астровые, Зелёный
Латук, Овощ, Астровые, Зелёный
Турнепс (брюква), Овощ, Крестоцветные, Жёлтый
Ревень, Овощ, Гречишные, Красный
Цветная капуста, Овощ, Крестоцветные, Белый
Бобы, Овощ, Бобовые, Зелёный
Горох, Овощ, Бобовые, Зелёный
Спаржа, Овощ, Лилейные, Зелёный
